FromBIC,ToBIC,TimeTakenInMinutes
CICIFRPPXXX,BNPAFRPPXXX,111
BNPAFRPPXXX,CICIFRPPXXX,111
CCBPFRPPXXX,BNPAFRPPXXX,57
BNPAFRPPXXX,CCBPFRPPXXX,57
CRLYFRPPXXX,BNPAFRPPXXX,104
BNPAFRPPXXX,CRLYFRPPXXX,104
AGRIFRPPXXX,BNPAFRPPXXX,106
BNPAFRPPXXX,AGRIFRPPXXX,106
BBVAFRPPXXX,BNPAFRPPXXX,120
BNPAFRPPXXX,BBVAFRPPXXX,120
CMADFRPPXXX,BNPAFRPPXXX,33
BNPAFRPPXXX,CMADFRPPXXX,33
CALDFR21XXX,BNPAFRPPXXX,50
BNPAFRPPXXX,CALDFR21XXX,50
SOGEFRPPXXX,BNPAFRPPXXX,102
BNPAFRPPXXX,SOGEFRPPXXX,102
CITIFRPPXXX,BNPAFRPPXXX,43
BNPAFRPPXXX,CITIFRPPXXX,43
KNABNL2HXXX,BNPAFRPPXXX,160
BNPAFRPPXXX,KNABNL2HXXX,160
MHCBJPJTXXX,BNPAFRPPXXX,146
BNPAFRPPXXX,MHCBJPJTXXX,146
ABNANL2AXXX,BNPAFRPPXXX,173
BNPAFRPPXXX,ABNANL2AXXX,173
DEUTDEBBXXX,BNPAFRPPXXX,126
BNPAFRPPXXX,DEUTDEBBXXX,126
MMTOJPJTXXX,BNPAFRPPXXX,152
BNPAFRPPXXX,MMTOJPJTXXX,152
NATAAU3302S,BNPAFRPPXXX,232
BNPAFRPPXXX,NATAAU3302S,232
BLKBCH22XXX,BNPAFRPPXXX,225
BNPAFRPPXXX,BLKBCH22XXX,225
CRESCHZZXXX,BNPAFRPPXXX,175
BNPAFRPPXXX,CRESCHZZXXX,175
HSBCGB2LXXX,BNPAFRPPXXX,189
BNPAFRPPXXX,HSBCGB2LXXX,189
SBININBBFXD,BNPAFRPPXXX,85
BNPAFRPPXXX,SBININBBFXD,85
ANZBAU3MXXX,BNPAFRPPXXX,169
BNPAFRPPXXX,ANZBAU3MXXX,169
BOTKJPJTXXX,BNPAFRPPXXX,62
BNPAFRPPXXX,BOTKJPJTXXX,62
BARCGB22XXX,BNPAFRPPXXX,103
BNPAFRPPXXX,BARCGB22XXX,103
SMBCJPJTXXX,BNPAFRPPXXX,84
BNPAFRPPXXX,SMBCJPJTXXX,84
CUSCAU2SXXX,BNPAFRPPXXX,205
BNPAFRPPXXX,CUSCAU2SXXX,205
ICICINBBCTS,BNPAFRPPXXX,88
BNPAFRPPXXX,ICICINBBCTS,88
WFBIUS6SXXX,BNPAFRPPXXX,132
